DATE;WAARDE
8-7-2015;5.7
9-7-2015;6.4
10-7-2015;0
11-7-2015;0
12-7-2015;0.7
13-7-2015;0.4
14-7-2015;5.7
15-7-2015;3.8
16-7-2015;2.9
17-7-2015;0.4
18-7-2015;1.7
19-7-2015;6.2
20-7-2015;3.6
21-7-2015;6.3
22-7-2015;0
23-7-2015;0
24-7-2015;0
25-7-2015;5.2
26-7-2015;1.9
27-7-2015;7.3
28-7-2015;8.4
29-7-2015;13.6
30-7-2015;4.7
31-7-2015;24.5
1-8-2015;0
2-8-2015;0
3-8-2015;0
4-8-2015;5.8
5-8-2015;0
6-8-2015;0
7-8-2015;0
8-8-2015;0
9-8-2015;0
10-8-2015;0
11-8-2015;0
12-8-2015;0
13-8-2015;0
14-8-2015;38.9
15-8-2015;1.7
16-8-2015;3.1
17-8-2015;0.2
18-8-2015;15.1
19-8-2015;2.3
20-8-2015;0
21-8-2015;0
22-8-2015;0
23-8-2015;0
24-8-2015;6.4
25-8-2015;12.1
26-8-2015;14.6
27-8-2015;21.2
28-8-2015;4.6
29-8-2015;0
30-8-2015;8.2
31-8-2015;52.3
1-9-2015;16.7
2-9-2015;2.4
3-9-2015;2.7
4-9-2015;5.9
5-9-2015;20.8
6-9-2015;11.2
7-9-2015;0.6
8-9-2015;0.3
9-9-2015;0
10-9-2015;0
11-9-2015;0
12-9-2015;0
13-9-2015;0.2
14-9-2015;17.6
15-9-2015;7.3
16-9-2015;5.8
17-9-2015;6.7
18-9-2015;16.2
19-9-2015;17.4
20-9-2015;1.3
21-9-2015;0
22-9-2015;2.1
23-9-2015;13.4
24-9-2015;9.8
25-9-2015;4.3
26-9-2015;0
27-9-2015;0
28-9-2015;0
29-9-2015;0
30-9-2015;0
1-10-2015;0
2-10-2015;0
3-10-2015;0
4-10-2015;0
5-10-2015;0
6-10-2015;3.6
7-10-2015;1.2
8-10-2015;2.4
9-10-2015;1.3
10-10-2015;0
11-10-2015;0
12-10-2015;0
13-10-2015;0
14-10-2015;0
15-10-2015;1.4
16-10-2015;6.8
17-10-2015;4.2
18-10-2015;0.9
19-10-2015;0
20-10-2015;0
21-10-2015;0
22-10-2015;5.6
23-10-2015;0.7
24-10-2015;0
25-10-2015;0.6
26-10-2015;0
27-10-2015;0
28-10-2015;0
29-10-2015;0.3
30-10-2015;0
31-10-2015;0
1-11-2015;0
2-11-2015;0
3-11-2015;0
4-11-2015;0
5-11-2015;0.9
6-11-2015;3.8
7-11-2015;1.6
8-11-2015;2.1
9-11-2015;0.6
10-11-2015;0.2
11-11-2015;4.1
12-11-2015;0
13-11-2015;0.4
14-11-2015;3.2
15-11-2015;8.7
16-11-2015;0.9
17-11-2015;9.3
18-11-2015;2
19-11-2015;0.8
20-11-2015;14.6
21-11-2015;1.3
22-11-2015;13.7
23-11-2015;3.6
24-11-2015;1.2
25-11-2015;13.7
26-11-2015;6.3
27-11-2015;0.4
28-11-2015;4.6
29-11-2015;8.9
30-11-2015;9.7
1-12-2015;13.2
2-12-2015;1.1
3-12-2015;0
4-12-2015;4.6
5-12-2015;0
6-12-2015;0
7-12-2015;0.9
8-12-2015;0
9-12-2015;1.8
10-12-2015;0
11-12-2015;5.8
12-12-2015;3.9
13-12-2015;4.7
14-12-2015;1.9
15-12-2015;0
16-12-2015;3.8
17-12-2015;0.4
18-12-2015;0
19-12-2015;0.4
20-12-2015;0
21-12-2015;0.7
22-12-2015;3.2
23-12-2015;1.3
24-12-2015;0.4
25-12-2015;1.2
26-12-2015;0.3
27-12-2015;0
28-12-2015;0
29-12-2015;0
30-12-2015;0.3
31-12-2015;2.1
1-1-2016;0.2
2-1-2016;5.3
3-1-2016;4.1
4-1-2016;14.2
5-1-2016;0.7
6-1-2016;1.4
7-1-2016;0.6
8-1-2016;14.9
9-1-2016;0
10-1-2016;2.1
11-1-2016;3.2
12-1-2016;7.3
13-1-2016;8.4
14-1-2016;7.6
15-1-2016;27.8
16-1-2016;17.2
17-1-2016;3.6
18-1-2016;0
19-1-2016;0
20-1-2016;1.3
21-1-2016;0.7
22-1-2016;0
23-1-2016;11.6
24-1-2016;4.8
25-1-2016;0.5
26-1-2016;0
27-1-2016;1.3
28-1-2016;6.1
29-1-2016;0
30-1-2016;15.2
31-1-2016;12.3
1-2-2016;2.4
2-2-2016;0.3
3-2-2016;4.8
4-2-2016;5.1
5-2-2016;3
6-2-2016;0.3
7-2-2016;2.4
8-2-2016;10.5
9-2-2016;1.2
10-2-2016;21.3
11-2-2016;4.3
12-2-2016;0.2
13-2-2016;0
14-2-2016;3.1
15-2-2016;2.6
16-2-2016;0
17-2-2016;0
18-2-2016;0
19-2-2016;3.6
20-2-2016;1.7
21-2-2016;6.2
22-2-2016;6.4
23-2-2016;6.7
24-2-2016;0.5
25-2-2016;0.3
26-2-2016;0.4
27-2-2016;0
28-2-2016;0
29-2-2016;0
1-3-2016;0
2-3-2016;10.4
3-3-2016;12.6
4-3-2016;8.7
5-3-2016;3.1
6-3-2016;1.9
7-3-2016;8.2
8-3-2016;0.4
9-3-2016;0.3
10-3-2016;0
11-3-2016;0
12-3-2016;0
13-3-2016;0
14-3-2016;0
15-3-2016;0
16-3-2016;0
17-3-2016;0
18-3-2016;0
19-3-2016;0
20-3-2016;0.2
21-3-2016;0.3
22-3-2016;0
23-3-2016;0
24-3-2016;0.4
25-3-2016;6.2
26-3-2016;1.7
27-3-2016;9.1
28-3-2016;8.5
29-3-2016;4.1
30-3-2016;1.1
31-3-2016;0
1-4-2016;1.7
2-4-2016;0
3-4-2016;0.9
4-4-2016;8.2
5-4-2016;1.3
6-4-2016;0
7-4-2016;5.7
8-4-2016;0.4
9-4-2016;0.5
10-4-2016;4.1
11-4-2016;0
12-4-2016;1.2
13-4-2016;0.3
14-4-2016;0
15-4-2016;7.4
16-4-2016;11.2
17-4-2016;1.4
18-4-2016;0.3
19-4-2016;0
20-4-2016;0
21-4-2016;0
22-4-2016;0
23-4-2016;0
24-4-2016;3.4
25-4-2016;2.6
26-4-2016;4.1
27-4-2016;13.6
28-4-2016;2.8
29-4-2016;3.1
30-4-2016;0.2
1-5-2016;0
2-5-2016;0
3-5-2016;3.8
4-5-2016;0
5-5-2016;0
6-5-2016;0
7-5-2016;0
8-5-2016;0
9-5-2016;0
10-5-2016;1.9
11-5-2016;9.8
12-5-2016;0
13-5-2016;0
14-5-2016;0
15-5-2016;1.6
16-5-2016;0.2
17-5-2016;0
18-5-2016;0
19-5-2016;1.2
20-5-2016;0.9
21-5-2016;0
22-5-2016;6.1
23-5-2016;19.4
24-5-2016;2.8
25-5-2016;0.3
26-5-2016;1.1
27-5-2016;0
28-5-2016;0
29-5-2016;0
30-5-2016;2.7
31-5-2016;19.4
1-6-2016;0
2-6-2016;1.2
3-6-2016;2.3
4-6-2016;0.3
5-6-2016;0
6-6-2016;0
7-6-2016;0
8-6-2016;0
9-6-2016;0
10-6-2016;0
11-6-2016;1.9
12-6-2016;1.7
13-6-2016;15.8
14-6-2016;2.7
15-6-2016;6.7
16-6-2016;24.4
17-6-2016;11.2
18-6-2016;0.4
19-6-2016;3.3
20-6-2016;2.6
21-6-2016;18.7
22-6-2016;3.3
23-6-2016;1.6
24-6-2016;9.3
25-6-2016;0
26-6-2016;18.2
27-6-2016;5.4
28-6-2016;3.8
29-6-2016;7.4
30-6-2016;4.6
1-7-2016;2.3
2-7-2016;1.9
3-7-2016;0.3
4-7-2016;0
5-7-2016;0
6-7-2016;0.4
7-7-2016;0
8-7-2016;0.9
9-7-2016;0
10-7-2016;0
11-7-2016;0
12-7-2016;0
13-7-2016;12.4
14-7-2016;2.1
15-7-2016;1.6
16-7-2016;0
17-7-2016;0
18-7-2016;0
19-7-2016;0
20-7-2016;0
21-7-2016;0
22-7-2016;0
23-7-2016;0.3
24-7-2016;0
25-7-2016;0
26-7-2016;0.2
27-7-2016;0
28-7-2016;1.3
29-7-2016;3.4
30-7-2016;3.2
31-7-2016;1.1
1-8-2016;3.6
2-8-2016;6.3
3-8-2016;9.3
4-8-2016;1.7
5-8-2016;0
6-8-2016;0
7-8-2016;0
8-8-2016;0
9-8-2016;8.2
