Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20131213 0.0652
20131214 0.0986
20131215 1.7445
20131216 0.1443
20131217 0.9194
20131218 0.0807
20131219 0.1654
20131220 0.112
20131221 0.1848
20131222 0.164
20131223 0.2494
20131224 0.1951
20131225 0.0252
20131226 0.0208
20131227 0.1835
20131228 0.1617
20131229 0.2101
20131230 0.2219
20131231 0.0825
20140101 0.1587
20140102 0.1878
20140103 0.1761
20140104 0.0553
20140105 0.1824
20140106 0.2166
20140107 0.1759
20140108 0.1554
20140109 0.2557
20140110 0.2082
20140111 0.1345
20140112 0.0307
20140113 0.0965
20140114 0.0198
20140115 0.1786
20140116 0.1599
20140117 0.1765
20140118 1.614
20140119 1.7656
20140120 1.9043
20140121 0.1035
20140122 0.1178
20140123 0.158
20140124 0.1937
20140125 0.1264
20140126 0.2227
20140127 0.305
20140128 0.1001
20140129 1.9011
20140130 1.9469
20140131 0.0378
20140201 0.2075
20140202 0.217
20140203 1.6945
20140204 0.0584
20140205 0.1176
20140206 0.1015
20140207 0.2962
20140208 0.2487
20140209 0.1526
20140210 0.3818
20140211 0.2392
20140212 0.1656
20140213 0.1626
20140214 0.1523
20140215 0.1849
20140216 0.1826
20140217 0.1054
20140218 0.0939
20140219 0.1927
20140220 0.18
20140221 2.0931
20140222 3.1564
20140223 1.5472
20140224 1.6376
20140225 3.2769
20140226 3.3102
20140227 2.8486
20140228 3.6836
20140301 3.5235
20140302 3.5028
20140303 3.0188
20140304 2.8433
20140305 3.4528
20140306 3.6145
